feature,importance
purple_urchin_conceiledm2,3.825809624225262
cov_fleshy_red,1.448754253619933
cov_crustose_coralline,1.3932265794255936
purple_urchin_densitym2,1.3713228951844876
density20m2_lamset,1.1179989425132917
n_macro_plants_20m2,1.0922643502276206
density20m2_ptecal,0.950712635879941
tegula_densitym2,0.8390168367115362
cov_articulated_coralline,0.8228356141454042
risk_index,0.7967929372284945
red_urchin_densitym2,0.7459999911688268
relief_cm,0.6952528304118136
cov_encrusting_red,0.582639608903122
lamr,0.5668038933669414
cov_barnacle,0.558313443271535
pomaulax_densitym2,0.537972621017493
macro_stipe_density_20m2,0.5168211224733213
density20m2_nerlue,0.5011660904001425
cov_stephanocystis,0.4883362557462165
cov_desmarestia_spp,0.47452002287594813
ptej,0.4125791529732998
cov_dodecaceria_spp,0.4029746930897701
cov_bare_sand,0.3929802697414433
cov_bare_rock,0.3897786296893021
macr,0.38600253895589265
cov_mac_holdfast_live,0.35388405660991074
macj,0.3129134379602304
cov_lam_holdfast_live,0.2903890438816667
cov_phragmatopoma,0.27019427262336215
cov_colonial_tunicate,0.2283258324241106
cov_red_turf_2_cm,0.22597645330519647
cov_sponge,0.22415226865585489
cov_cup_corals,0.21883310792608643
red_urchin_conceiledm2,0.2072359705756919
cov_dictyoneurum_spp,0.18674120943819894
cov_other_anemone,0.18340191524169672
cov_shell_debris,0.1717543981302495
cov_hydroids,0.16651741716633883
density20m2_cancer_spp,0.1167706917991486
lsetj,0.0912393223018139
cov_diopatra_chaetopterus,0.09094081489695299
cov_bryozoan,0.07583794933480692
cov_corynactis_californica,0.07271940022481817
cov_dead_kelp_holdfast_any,0.07029516027264042
density20m2_purps_on_kelp,0.05426767077615105
cov_tubeworm_other_solitary,0.040979877587153136
nerj,0.02879585921325051
